ID	CNP	Sum	Currency	DateTime	Status	Receiver	Invoice_nr
1	1960101223344	1250.5	RON	2025-02-14 10:30:00	PAID	SC Cometa SRL	INV-1001
2	1790202333445	899.99	RON	2025-03-03 14:45:00	PENDING	Alpha Logistics SA	INV-1002
3	2820303444556	2150.0	RON	2025-04-10 09:15:00	PAID	Nova Media Group	INV-1003
4	1900404555667	470.35	RON	2025-05-21 11:20:00	FAILED	GreenLine Solutions	INV-1004
5	2910505666778	3275.75	RON	2025-06-05 16:40:00	PAID	TransEuro Freight	INV-1005
6	1840606777889	199.0	RON	2025-06-27 08:55:00	PENDING	Delta Consulting	INV-1006
7	2870707888990	780.4	RON	2025-07-11 12:10:00	PAID	Pixel Yard SRL	INV-1007
8	1910808999001	1420.1	RON	2025-08-08 13:35:00	PAID	Brisk Retail Group	INV-1008
9	2920910111222	350.0	RON	2025-08-19 17:25:00	FAILED	BlueSky Catering	INV-1009
10	1801011222333	4888.9	RON	2025-09-01 15:50:00	PENDING	Vega Industrial SA	INV-1010
11	1960101223344	999.5	RON	2025-09-09 10:15:00	PENDING	SC Exemplu SRL	INV-2001
12	1960101223344	999.5	RON	2025-09-09 10:15:00	PENDING	SC Exemplu SRL	INV-2002
13	1960101223344	999.5	RON	2025-09-09 10:15:00	PENDING	SC Exemplu SRL	INV-2003
14	1960101223344	999.5	RON	2025-09-09 10:15:00	PENDING	SC Exemplu SRL	INV-2004
15	1960101223344	999.5	RON	2025-09-09 10:15:00	PENDING	SC Exemplu SRL	INV-2005
16	1960101223344	999.5	RON	2025-09-09 10:15:00	PENDING	SC Exemplu SRL	INV-2006
17	1960101223344	999.5	RON	2025-09-09 10:15:00	PENDING	SC Exemplu SRL	INV-2007
18	1960101223344	999.5	RON	2025-09-09 10:15:00	PENDING	SC Exemplu SRL	INV-2008
